Round   0  [  2 of Spades   ,  K of Diamonds ,  7 of Hearts   ,  2 of Hearts   ]

Round   1  [  7 of Hearts   ,  4 of Clubs    ,  9 of Hearts   ,  5 of Clubs    ]

Round   2  [  3 of Diamonds ,  4 of Clubs    ,  2 of Hearts   ,  4 of Diamonds ]

Round   3  [  2 of Clubs    ,  4 of Spades   ,  2 of Diamonds ,  A of Clubs    ]

Round   4  [  K of Diamonds ,  K of Hearts   ,  8 of Clubs    ,  4 of Clubs    ]

Round   5  [  7 of Clubs    , 10 of Diamonds ,  J of Clubs    , 10 of Spades   ]

Round   6  [  2 of Hearts   ,  8 of Hearts   ,  6 of Clubs    ,  4 of Hearts   ]

Round   7  [  3 of Spades   ,  8 of Spades   ,  7 of Hearts   ,  5 of Hearts   ]

Round   8  [  2 of Hearts   ,  5 of Spades   ,  6 of Hearts   ,  K of Spades   ]

Round   9  [  A of Hearts   ,  K of Clubs    ,  9 of Diamonds ,  2 of Spades   ]

Round  10  [ 10 of Hearts   ,  9 of Spades   ,  6 of Hearts   ,  6 of Clubs    ]

Round  11  [  7 of Spades   ,  9 of Spades   ,  7 of Diamonds ,  4 of Clubs    ]

Round  12  [ 10 of Spades   ,  4 of Diamonds ,  2 of Hearts   ,  9 of Diamonds ]

Round  13  [  4 of Clubs    ,  5 of Hearts   ,  3 of Diamonds ,  7 of Clubs    ]

Round  14  [  4 of Hearts   ,  K of Diamonds ,  Q of Spades   ,  A of Diamonds ]

Round  15  [ 10 of Spades   ,  K of Spades   ,  A of Hearts   ,  5 of Hearts   ]

Round  16  [  9 of Spades   ,  8 of Hearts   ,  9 of Clubs    ,  K of Clubs    ]

Round  17  [  J of Hearts   ,  9 of Clubs    ,  5 of Diamonds , 10 of Diamonds ]

Round  18  [  2 of Diamonds ,  J of Clubs    ,  7 of Diamonds ,  9 of Diamonds ]

Round  19  [  8 of Clubs    ,  K of Clubs    ,  6 of Spades   ,  Q of Diamonds ]

Round  20  [  A of Hearts   ,  K of Diamonds ,  2 of Spades   ,  K of Hearts   ]

Round  21  [  3 of Spades   ,  4 of Clubs    ,  2 of Spades   ,  A of Diamonds ]

Round  22  [  7 of Clubs    ,  9 of Hearts   ,  Q of Spades   ,  J of Diamonds ]

Round  23  [  2 of Hearts   ,  A of Hearts   ,  6 of Spades   ,  K of Hearts   ]

Round  24  [  K of Clubs    ,  2 of Diamonds ,  3 of Clubs    ,  Q of Clubs    ]

Round  25  [  J of Hearts   ,  A of Clubs    , 10 of Diamonds ,  7 of Diamonds ]

Round  26  [  3 of Hearts   ,  K of Diamonds ,  6 of Hearts   ,  Q of Hearts   ]

Round  27  [  8 of Diamonds ,  7 of Hearts   ,  3 of Diamonds ,  2 of Spades   ]

Round  28  [  8 of Spades   ,  9 of Clubs    ,  9 of Diamonds ,  J of Spades   ]

Round  29  [  K of Clubs    ,  7 of Hearts   ,  8 of Spades   ,  2 of Diamonds ]

Round  30  [  Q of Diamonds ,  5 of Hearts   ,  6 of Diamonds ,  6 of Spades   ]

Round  31  [  A of Clubs    ,  Q of Hearts   ,  8 of Spades   ,  6 of Hearts   ]

Round  32  [  Q of Clubs    ,  5 of Spades   ,  K of Spades   ,  9 of Clubs    ]

Round  33  [ 10 of Diamonds ,  5 of Clubs    ,  7 of Hearts   ,  3 of Clubs    ]

Round  34  [  A of Hearts   ,  2 of Spades   ,  9 of Hearts   ,  Q of Diamonds ]

Round  35  [  9 of Spades   ,  3 of Diamonds ,  8 of Hearts   ,  A of Spades   ]

Round  36  [  9 of Diamonds ,  3 of Hearts   ,  2 of Clubs    ,  6 of Clubs    ]

Round  37  [  8 of Hearts   ,  3 of Hearts   ,  A of Hearts   , 10 of Clubs    ]

Round  38  [ 10 of Diamonds ,  9 of Clubs    ,  2 of Clubs    ,  A of Clubs    ]

Round  39  [  J of Hearts   ,  A of Diamonds ,  7 of Hearts   ,  Q of Clubs    ]

Round  40  [  3 of Diamonds ,  6 of Diamonds ,  9 of Diamonds ,  8 of Spades   ]

Round  41  [  J of Diamonds , 10 of Clubs    ,  J of Hearts   ,  2 of Clubs    ]

Round  42  [  5 of Spades   ,  9 of Hearts   ,  K of Diamonds ,  K of Hearts   ]

Round  43  [  6 of Hearts   ,  2 of Spades   ,  5 of Clubs    ,  2 of Diamonds ]

Round  44  [  3 of Hearts   ,  J of Hearts   ,  9 of Hearts   ,  6 of Clubs    ]

Round  45  [  J of Clubs    ,  2 of Diamonds ,  3 of Diamonds ,  4 of Spades   ]

Round  46  [  9 of Clubs    ,  7 of Hearts   ,  K of Diamonds ,  5 of Hearts   ]

Round  47  [  6 of Hearts   ,  8 of Spades   ,  8 of Hearts   ,  K of Clubs    ]

Round  48  [  4 of Clubs    , 10 of Spades   ,  2 of Diamonds ,  A of Spades   ]

Round  49  [  6 of Clubs    ,  A of Spades   ,  4 of Spades   ,  3 of Hearts   ]

Round  50  [  3 of Diamonds ,  A of Spades   ,  J of Hearts   ,  4 of Diamonds ]

Round  51  [  Q of Spades   ,  4 of Clubs    ,  9 of Spades   ,  8 of Hearts   ]

Round  52  [ 10 of Clubs    ,  6 of Spades   ,  J of Diamonds ,  J of Spades   ]

Round  53  [  8 of Spades   ,  A of Diamonds ,  3 of Spades   ,  2 of Hearts   ]

Round  54  [  A of Spades   ,  A of Clubs    ,  9 of Spades   ,  5 of Diamonds ]

Round  55  [  2 of Spades   ,  Q of Spades   ,  J of Diamonds ,  J of Spades   ]

Round  56  [  K of Clubs    ,  J of Spades   , 10 of Hearts   ,  2 of Diamonds ]

Round  57  [  A of Diamonds ,  3 of Spades   , 10 of Spades   ,  Q of Diamonds ]

Round  58  [  9 of Clubs    ,  3 of Hearts   ,  3 of Diamonds ,  7 of Hearts   ]

Round  59  [  6 of Diamonds ,  9 of Hearts   ,  7 of Spades   ,  9 of Spades   ]

Round  60  [  5 of Hearts   ,  6 of Clubs    ,  3 of Hearts   ,  2 of Clubs    ]

Round  61  [  5 of Diamonds ,  A of Hearts   ,  2 of Hearts   ,  Q of Spades   ]

Round  62  [  5 of Diamonds ,  4 of Hearts   ,  4 of Spades   ,  9 of Diamonds ]

Round  63  [ 10 of Hearts   ,  4 of Hearts   ,  J of Hearts   ,  4 of Clubs    ]

Round  64  [  9 of Clubs    ,  K of Spades   ,  A of Spades   ,  3 of Clubs    ]

Round  65  [  Q of Diamonds ,  J of Hearts   ,  K of Clubs    ,  7 of Diamonds ]

Round  66  [  2 of Hearts   ,  5 of Diamonds ,  2 of Clubs    ,  A of Spades   ]

Round  67  [  J of Clubs    , 10 of Spades   ,  K of Hearts   ,  K of Diamonds ]

Round  68  [  2 of Hearts   , 10 of Spades   ,  3 of Spades   ,  7 of Diamonds ]

Round  69  [  5 of Clubs    , 10 of Spades   ,  7 of Hearts   ,  J of Diamonds ]

Round  70  [  9 of Spades   ,  9 of Diamonds , 10 of Clubs    ,  Q of Hearts   ]

Round  71  [  7 of Spades   ,  8 of Spades   ,  Q of Diamonds ,  9 of Spades   ]

Round  72  [  A of Diamonds ,  2 of Hearts   ,  5 of Clubs    ,  5 of Spades   ]

Round  73  [  3 of Diamonds ,  Q of Diamonds ,  3 of Clubs    ,  6 of Clubs    ]

Round  74  [  J of Clubs    ,  K of Diamonds ,  2 of Clubs    ,  8 of Diamonds ]

