Round   0  [  9 of Hearts   ,  2 of Clubs    ,  5 of Clubs    ,  8 of Spades   ]

Round   1  [  9 of Clubs    ,  8 of Hearts   ,  J of Clubs    ,  A of Clubs    ]

Round   2  [  9 of Diamonds ,  3 of Clubs    ,  A of Diamonds ,  7 of Hearts   ]

Round   3  [  6 of Clubs    ,  4 of Hearts   ,  2 of Spades   ,  8 of Diamonds ]

Round   4  [  2 of Clubs    ,  J of Clubs    ,  2 of Hearts   ,  4 of Clubs    ]

Round   5  [  5 of Spades   ,  J of Hearts   ,  4 of Diamonds ,  9 of Diamonds ]

Round   6  [  9 of Clubs    ,  K of Hearts   ,  6 of Spades   ,  6 of Clubs    ]

Round   7  [  3 of Spades   ,  J of Hearts   ,  6 of Spades   ,  K of Diamonds ]

Round   8  [  Q of Diamonds ,  K of Diamonds ,  A of Diamonds ,  A of Spades   ]

Round   9  [  2 of Hearts   , 10 of Diamonds ,  2 of Diamonds ,  4 of Diamonds ]

Round  10  [  2 of Diamonds ,  Q of Clubs    ,  Q of Spades   ,  9 of Hearts   ]

Round  11  [  J of Diamonds ,  2 of Spades   ,  7 of Spades   ,  Q of Clubs    ]

Round  12  [  5 of Clubs    ,  4 of Diamonds ,  8 of Hearts   ,  3 of Hearts   ]

Round  13  [ 10 of Diamonds ,  6 of Diamonds , 10 of Hearts   ,  K of Hearts   ]

Round  14  [  7 of Spades   ,  2 of Spades   ,  3 of Spades   ,  6 of Hearts   ]

Round  15  [  Q of Clubs    ,  J of Diamonds ,  2 of Spades   ,  7 of Diamonds ]

Round  16  [  6 of Diamonds ,  4 of Spades   ,  K of Clubs    ,  9 of Hearts   ]

Round  17  [  2 of Clubs    ,  8 of Clubs    ,  9 of Clubs    ,  7 of Spades   ]

Round  18  [  9 of Hearts   ,  K of Diamonds ,  J of Diamonds ,  J of Clubs    ]

Round  19  [  9 of Spades   ,  8 of Diamonds ,  6 of Clubs    ,  8 of Hearts   ]

Round  20  [  K of Diamonds , 10 of Hearts   , 10 of Clubs    ,  J of Hearts   ]

Round  21  [  9 of Diamonds ,  8 of Spades   ,  3 of Diamonds ,  3 of Clubs    ]

Round  22  [  Q of Clubs    ,  4 of Spades   ,  7 of Spades   ,  4 of Clubs    ]

Round  23  [  4 of Clubs    ,  K of Clubs    ,  J of Diamonds , 10 of Clubs    ]

Round  24  [  9 of Hearts   ,  3 of Diamonds ,  Q of Diamonds ,  4 of Diamonds ]

Round  25  [  5 of Diamonds , 10 of Diamonds ,  4 of Spades   ,  A of Spades   ]

Round  26  [ 10 of Diamonds ,  4 of Hearts   ,  4 of Diamonds ,  Q of Hearts   ]

Round  27  [  J of Hearts   ,  7 of Diamonds ,  7 of Spades   ,  4 of Clubs    ]

Round  28  [  9 of Diamonds ,  Q of Hearts   ,  A of Spades   ,  K of Hearts   ]

Round  29  [  7 of Clubs    ,  7 of Spades   ,  8 of Clubs    ,  2 of Hearts   ]

Round  30  [  3 of Clubs    ,  5 of Hearts   ,  A of Clubs    ,  A of Diamonds ]

Round  31  [  5 of Spades   ,  6 of Diamonds ,  6 of Clubs    ,  9 of Spades   ]

Round  32  [  A of Hearts   ,  K of Clubs    ,  9 of Spades   ,  5 of Spades   ]

Round  33  [  6 of Hearts   ,  5 of Spades   ,  A of Spades   ,  8 of Diamonds ]

Round  34  [  9 of Spades   ,  6 of Spades   ,  6 of Diamonds ,  7 of Spades   ]

Round  35  [  4 of Spades   ,  Q of Clubs    , 10 of Hearts   ,  2 of Clubs    ]

Round  36  [ 10 of Clubs    ,  A of Spades   ,  7 of Diamonds ,  Q of Spades   ]

Round  37  [  9 of Hearts   ,  8 of Clubs    ,  J of Spades   , 10 of Hearts   ]

Round  38  [  3 of Hearts   ,  A of Spades   ,  Q of Diamonds ,  J of Diamonds ]

Round  39  [  4 of Hearts   ,  6 of Diamonds ,  7 of Clubs    ,  4 of Diamonds ]

Round  40  [  5 of Spades   ,  8 of Hearts   ,  6 of Clubs    ,  2 of Clubs    ]

Round  41  [  6 of Diamonds ,  6 of Spades   ,  Q of Clubs    ,  J of Hearts   ]

Round  42  [  8 of Diamonds ,  8 of Spades   ,  5 of Hearts   ,  6 of Diamonds ]

Round  43  [  7 of Hearts   ,  5 of Diamonds ,  A of Clubs    ,  7 of Clubs    ]

Round  44  [  5 of Spades   ,  7 of Spades   ,  7 of Clubs    , 10 of Spades   ]

Round  45  [  J of Clubs    ,  Q of Diamonds ,  Q of Clubs    , 10 of Spades   ]

Round  46  [  2 of Spades   ,  J of Clubs    ,  K of Clubs    , 10 of Diamonds ]

Round  47  [  K of Hearts   ,  A of Spades   ,  A of Hearts   ,  4 of Spades   ]

Round  48  [ 10 of Hearts   , 10 of Clubs    ,  4 of Diamonds , 10 of Diamonds ]

Round  49  [  A of Diamonds ,  4 of Diamonds ,  3 of Hearts   ,  K of Spades   ]

Round  50  [  J of Hearts   ,  9 of Diamonds ,  A of Diamonds ,  2 of Spades   ]

Round  51  [  4 of Hearts   ,  9 of Hearts   ,  A of Spades   ,  6 of Diamonds ]

Round  52  [  3 of Clubs    ,  4 of Hearts   ,  Q of Clubs    ,  2 of Diamonds ]

Round  53  [ 10 of Spades   ,  6 of Clubs    , 10 of Clubs    ,  9 of Hearts   ]

Round  54  [  K of Spades   ,  6 of Hearts   ,  3 of Spades   ,  2 of Spades   ]

