Round   0  [  5 of Spades   ,  9 of Diamonds ,  8 of Hearts   ,  4 of Clubs    ]

Round   1  [  6 of Hearts   ,  4 of Spades   ,  Q of Hearts   , 10 of Spades   ]

Round   2  [  J of Spades   ,  K of Hearts   ,  7 of Hearts   ,  Q of Spades   ]

Round   3  [  K of Hearts   ,  2 of Hearts   ,  9 of Hearts   ,  5 of Spades   ]

Round   4  [  J of Diamonds ,  5 of Hearts   ,  A of Spades   ,  4 of Spades   ]

Round   5  [  2 of Hearts   ,  9 of Diamonds ,  J of Spades   ,  5 of Hearts   ]

Round   6  [ 10 of Diamonds , 10 of Hearts   ,  5 of Hearts   ,  A of Diamonds ]

Round   7  [ 10 of Hearts   ,  6 of Hearts   ,  6 of Diamonds ,  5 of Diamonds ]

Round   8  [  J of Hearts   ,  J of Clubs    ,  3 of Spades   , 10 of Diamonds ]

Round   9  [  8 of Clubs    ,  7 of Clubs    ,  8 of Diamonds ,  6 of Clubs    ]

Round  10  [  5 of Diamonds ,  8 of Diamonds ,  J of Clubs    ,  7 of Spades   ]

Round  11  [  7 of Diamonds ,  2 of Diamonds ,  5 of Spades   ,  A of Diamonds ]

Round  12  [  9 of Clubs    ,  9 of Spades   ,  4 of Clubs    ,  3 of Hearts   ]

Round  13  [  K of Spades   ,  7 of Hearts   ,  J of Spades   ,  J of Hearts   ]

Round  14  [  K of Spades   ,  6 of Hearts   ,  2 of Spades   ,  5 of Spades   ]

Round  15  [  7 of Clubs    ,  K of Diamonds , 10 of Spades   ,  3 of Hearts   ]

Round  16  [  2 of Hearts   ,  K of Hearts   ,  4 of Clubs    ,  J of Spades   ]

Round  17  [  2 of Diamonds ,  K of Spades   , 10 of Clubs    ,  4 of Hearts   ]

Round  18  [  J of Spades   ,  7 of Diamonds ,  A of Hearts   ,  5 of Diamonds ]

Round  19  [  K of Spades   ,  5 of Diamonds , 10 of Spades   ,  6 of Spades   ]

Round  20  [  Q of Clubs    ,  4 of Clubs    ,  9 of Diamonds ,  9 of Hearts   ]

Round  21  [  7 of Clubs    ,  J of Clubs    ,  8 of Hearts   ,  4 of Hearts   ]

Round  22  [  7 of Clubs    ,  5 of Diamonds ,  4 of Diamonds ,  A of Diamonds ]

Round  23  [  9 of Hearts   ,  3 of Diamonds ,  K of Hearts   ,  4 of Diamonds ]

Round  24  [  7 of Spades   ,  K of Spades   ,  4 of Diamonds ,  3 of Clubs    ]

Round  25  [  8 of Diamonds ,  7 of Hearts   ,  3 of Hearts   ,  J of Diamonds ]

Round  26  [  4 of Clubs    , 10 of Clubs    ,  5 of Hearts   ,  J of Clubs    ]

Round  27  [  9 of Diamonds ,  4 of Diamonds , 10 of Hearts   ,  K of Spades   ]

Round  28  [  3 of Diamonds ,  3 of Clubs    ,  8 of Hearts   , 10 of Spades   ]

Round  29  [  K of Spades   ,  5 of Hearts   ,  3 of Diamonds ,  A of Diamonds ]

Round  30  [  4 of Spades   ,  2 of Clubs    ,  5 of Hearts   ,  5 of Spades   ]

Round  31  [  5 of Diamonds ,  5 of Hearts   ,  Q of Hearts   ,  7 of Clubs    ]

Round  32  [  4 of Clubs    ,  J of Clubs    ,  3 of Hearts   ,  9 of Clubs    ]

Round  33  [  A of Hearts   ,  J of Hearts   ,  6 of Spades   ,  8 of Hearts   ]

